year,av_flws_per_calendar_year,gdp_pc,life_years_saved,benefits_usd,benefits_op
2010,0,1347.519391,0,0,0
2011,0,1445.461275,0,0,0
2012,2171,1429.321995,512.52757302279,732566.9331654423,51253269.83497734
2013,7063,1432.843975,1667.42618528787,2389161.5633469583,166744285.97164673
2014,13879,1553.883961,3276.5408502917103,5091364.274829591,327657361.602787
2015,22590,1583.998159,5333.0252761791,8447502.21936816,533307860.69651693
2016,32021,1707.508929,7559.48660329929,12907890.87378942,755956219.8921279
2017,59207.83,1950.104683,13977.727044608908,27258030.967387583,1397786682.327714
2018,109385.75,1966.254552,25823.68170003577,50775931.69209443,2582393993.9435163
2019,366828.75,2041.428637,86600.57528902985,176788894.3757001,8660144130.344288
2020,625445.67,1907.042516,147654.60677232282,281583612.79808116,14765608333.315615
2021,739264,2239.613844,174524.72765689535,390867996.1807125,17452647292.162457
2022,841700.5,2352.613925,198707.83716124776,467482824.71218395,19870982425.949036
2023,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2024,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2025,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2026,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2027,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2028,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2029,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2030,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2031,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2032,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2033,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2034,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
2035,1213321.5,2480.792087,286439.76217935106,710597495.416696,28644262660.56171
