year,round1,round2,burden_final,min,takeup_adj,burden_adj,benefits_usd,benefits_op
2010,NA,NA,NA,Inf,Inf,NA,NA,NA
2011,NA,NA,NA,Inf,Inf,NA,NA,NA
2012,NA,NA,NA,Inf,Inf,NA,NA,NA
2013,NA,NA,NA,Inf,Inf,NA,NA,NA
2014,NA,NA,NA,Inf,Inf,NA,NA,NA
2015,89000000,NA,0.38171428571428573,89000000,81212500,30999971.42857143,4686306928.3078995,178251618230.46802
2016,179000000,120000000,0.38171428571428573,120000000,109500000,41797714.28571428,6318616083.1117735,240339260535.46246
2017,260000000,228000000,0.2985607142857143,228000000,208050000,62115556.60714286,9390091341.03481,357168022171.29315
2018,267000000,227000000,0.21540714285714288,227000000,207137500,44618897.05357143,6745098035.893402,256561223670.27243
2019,250000000,NA,0.13225357142857144,250000000,228125000,30170345.982142862,4560891345.701412,173481224209.56354
2020,110200000,116600000,0.049100000000000005,110200000,100557500,4937373.250000001,746389283.6943612,28390180089.300896
2021,177500000,209400000,0.049100000000000005,177500000,161968750,7952665.625000001,1202215044.063059,45728284626.59627
2022,177500000,NA,0.049100000000000005,177500000,161968750,7952665.625000001,1202215044.063059,45728284626.59627
2023,242100000,274300000,0.049100000000000005,242100000,220916250,10846987.875000002,1639753589.676995,62370803989.2899
2024,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2025,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2026,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2027,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2028,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2029,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2030,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2031,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2032,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2033,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2034,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
2035,280900000,NA,0.049100000000000005,280900000,256321250,12585373.375000002,1902547638.7454271,72366620572.45573
