year,sales_cumulative,sales_year,within_lifespan,benefits_usd
2010,0,NA,0,NA
2011,0,0,0,0
2012,31944,31944,31944,0
2013,63889,31945,63889,2308912.32
2014,95834,31945,95834,4617896.92
2015,227604,131770,227604,6926881.5200000005
2016,273125,45521,273125,16451217.120000001
2017,382375,109250,382375,19741475
2018,592135,209760,592135,27638065
2019,919885,327750,887941,40490605.480000004
2020,1182085,262200,1118196,61871390.88
2021,1466135,284050,1370301,78514222.28
2022,1837585,371450,1609981,89521020.68
2023,2209035,371450,1935910,113079168.8
2024,2580485,371450,2198110,132030984.8
2025,2951935,371450,2359800,143717938
2026,3323385,371450,2403500,146876574
2027,3694835,371450,2512750,154773164
2028,4066285,371450,2600150,161090436
2029,4437735,371450,2600150,161090436
2030,4809185,371450,2600150,161090436
2031,5180635,371450,2600150,161090436
2032,5552085,371450,2600150,161090436
2033,5923535,371450,2600150,161090436
2034,6294985,371450,2600150,161090436
2035,6666435,371450,2600150,161090436
