year,unit_cost,sales_year,div_year,op_cost_usd,op_cost_real
2010,NA,NA,0,NA,NA
2011,NA,0,1,NA,NA
2012,230.77,31944,2,7371716.88,6815566.642011833
2013,230.77,31945,3,7371947.65,6553634.617162608
2014,230.77,31945,4,7371947.65,6301571.747271738
2015,230.77,131770,5,30408562.900000002,24993622.125106763
2016,180,45521,6,8193780,6475663.354637153
2017,171,109250,7,18681750,14196594.606787644
2018,171,209760,8,35868960,26209097.73560796
2019,130,327750,9,42607500,29935464.336175025
2020,130,262200,10,34086000,23027280.258596174
2021,130,284050,11,36926500,23986750.26937101
2022,130,371450,12,48288500,30160854.62864698
2023,130,371450,13,48288500,29000821.7583144
2024,130,371450,14,48288500,27885405.53684077
2025,100,371450,15,37145000,20625299.953284595
2026,100,371450,16,37145000,19832019.18585057
2027,100,371450,17,37145000,19069249.21716401
2028,100,371450,18,37145000,18335816.55496539
2029,100,371450,19,37145000,17630592.841312878
2030,100,371450,20,37145000,16952493.116646998
2031,100,371450,21,37145000,16300474.15062211
2032,100,371450,22,37145000,15673532.837136647
2033,100,371450,23,37145000,15070704.651092928
2034,100,371450,24,37145000,14491062.16451243
2035,100,371450,25,37145000,13933713.619723491
