year,benefits_usd,benefits_op
2010,0,0
2011,0,0
2012,347301.76799454197,27440659.45459454
2013,1400567.4138911236,115476513.27713275
2014,4861276.487558542,400238117.5587755
2015,10239305.374232838,955774047.4796746
2016,12027711.880402233,1229197742.01102
2017,12617617.56953676,1219529074.132341
2018,12797943.764946874,1139742132.339723
2019,14436769.00989672,1211305466.737867
2020,14365846.692646394,1203998752.6675262
2021,15365515.958321497,1219096813.6689363
2022,15819219.087321622,1205558197.821978
2023,30801792.377462663,3190870192.431524
2024,30892797.38299855,3210667903.6742363
2025,30892797.38299855,3210667903.6742363
2026,30892797.38299855,3210667903.6742363
2027,30892797.38299855,3210667903.6742363
2028,30892797.38299855,3210667903.6742363
2029,30892797.38299855,3210667903.6742363
2030,30892797.38299855,3210667903.6742363
2031,30892797.38299855,3210667903.6742363
2032,30892797.38299855,3210667903.6742363
2033,30892797.38299855,3210667903.6742363
2034,30892797.38299855,3210667903.6742363
2035,30892797.38299855,3210667903.6742363
