year,country,dispensers,u5_mr,births_per_year,takeup,effect_on_mr,life_years_per_death,births_per_dispenser_used,deaths_per_dispenser_used,deaths_averted_per_dispenser_used,years_per_dispenser_used,years,gdp_pc,benefits_usd,benefits_op
2010,kenya,0,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,0,1091.5187,0,0
2010,uganda,0,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,0,823.4881,0,0
2010,malawi,0,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,0,683.1247,0,0
2011,kenya,0,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,0,1096.145,0,0
2011,uganda,0,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,0,835.6201,0,0
2011,malawi,0,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,0,763.061,0,0
2012,kenya,1050,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,263.56503599999996,1285.0054,338682.49451119435,26356767.167671673
2012,uganda,15,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,10.838814479999998,795.2229,8619.27348334759,1083892.286922869
2012,malawi,0,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,0,558.4621,0,0
2013,kenya,3287,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,825.0840698399999,1370.8789,1131090.342069782,82509232.07632075
2013,uganda,455,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,328.77737255999995,818.2854,269033.7238162086,32878066.03666036
2013,malawi,1,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,0.8921427199999998,496.9474,443.34800513292794,89215.1641516415
2014,kenya,8965,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,2250.3433787999998,1482.8157,3336844.492475687,225036588.24588242
