year,kenya,uganda,malawi,dispensers
2010,0,0,0,0
2011,0,0,0,0
2012,1050,15,0,1065
2013,3287,455,1,3743
2014,8965,2253,139,11357
2015,16415,5006,2040,23461
2016,18854,5803,3773,28430
2017,18512,5788,3773,28073
2018,17632,5092,3690,26414
2019,18510,5686,3764,27960
2020,18405,5630,3757,27792
2021,18601,5719,3799,28119
2022,18693,5675,3657,28025
2023,18910,17903,15945,52758
2024,18871,17851,16220,52942
2025,18871,17851,16220,52942
2026,18871,17851,16220,52942
2027,18871,17851,16220,52942
2028,18871,17851,16220,52942
2029,18871,17851,16220,52942
2030,18871,17851,16220,52942
2031,18871,17851,16220,52942
2032,18871,17851,16220,52942
2033,18871,17851,16220,52942
2034,18871,17851,16220,52942
2035,18871,17851,16220,52942
