year,india,kenya,uganda,malawi,lic_va_per_worker
2010,1347.519391,1091.518731,823.488144,683.124695,826.30
2011,1445.461275,1096.144998,835.620061,763.061000,850.33
2012,1429.321995,1285.005362,795.222868,558.462088,874.89
2013,1432.843975,1370.878852,818.285427,496.947368,888.26
2014,1553.883961,1482.815663,896.054796,529.513344,896.00
2015,1583.998159,1489.119598,862.934610,539.605363,901.60
2016,1707.508929,1554.126103,752.696572,450.506106,949.22
2017,1950.104683,1667.484472,765.218332,495.769683,1000.25
2018,1966.254552,1836.452755,792.165700,533.203174,1025.49
2019,2041.428637,1960.408089,822.057058,580.889816,982.67
2020,1907.042516,1927.664590,845.766464,602.507478,1005.19
2021,2239.613844,2061.356221,882.791718,617.447521,1034.97
2022,2352.613925,2109.562885,963.067314,604.269751,1128.03
2023,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2024,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2025,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2026,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2027,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2028,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2029,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2030,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2031,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2032,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2033,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2034,2480.792087,1952.304579,1002.309139,602.343620,1021.95
2035,2480.792087,1952.304579,1002.309139,602.343620,1021.95
