year,odisha,one_acre_fund,india
2017,9970,166431,
2018,126811,390894,
2019,620000,408000,
2020,1054905,800000,
2021,1989770,800000,
2022,3441973,800000,
2023,6872282,451800,
2024,7005317,376174,9450000
2025,7005317,376174,40000000
2026,7005317,376174,40000000
2027,7005317,376174,40000000
2028,7005317,376174,40000000
2029,7005317,376174,40000000
2030,7005317,376174,40000000
2031,7005317,376174,40000000
2032,7005317,376174,40000000
2033,7005317,376174,40000000
2034,7005317,376174,40000000
2035,7005317,376174,40000000
